name,description
Alireza Ghorbani,"Ali-Rezā Ghorbāni (Persian: علی‌رضا قربانی) was born in 1972 in Tehran, Iran.  Since he was very interested in old Iranian traditional music, he started learning it eagerly. In 1984, he was fascinated by compilation of poetry and music and the insight of Iranian Music under the supervision of his first honorable mentors: Khosro Soltani,  Behrooz Abedini, Mahdi Fallah, Hossein Omoumi, Ahmad Ebrahimi and also Razavi Sarvestani. His acquaintance with Ali Tajvidi and Farhad Fakhreddini led him to new horizons of Iranian music.

He has already taken part in many important Festivals all over the world together with many musicians and some of these festivals and programs are available in the market on CDs. 

He has been the vocalist of Iran's National Orchestra since 1999 and has joined many concerts and festivals within Iran and abroad. Eshtiagh (Enthusiasm), the first album of National Iranian orchestra, has also been composed by Farhad Fakhreddini. Although he collaborated in making soundtracks for many different TV programs such as Kife Englisi, Shabe Dahom, Roshantar az Khamooshi (Molla Sadra) and Madare Sefr Darajeh. His latest albums are Az Khesht o Khak , Fasle Baran, Rosvaye Zamaneh, Sarve Ravan, Symphony of Molana, Soogvarane Khamoosh , Rooy Dar Aftab (1&2), Eshtiagh, Ghafe Eshgh, Khoshnevise Seda and Sarmasti (Khayyam).

Official Website:  

علیرضا قربانی در پانزدهم بهمن ماه سال 1351 در تهران متولد شد. علاقه ی شدید وی به فراگیری قرائت قرآن در کودکی، او را بر آن داشت تا در این راه  نزد استادان بزرگی، به تحصیل این هنر بپردازد.

در کنار یادگیری هنر قرائت قرآن، از عنفوان کودکی به یادگیری تصانیف قدیمی علاقه ی فراوانی داشت؛ بدین جهت از سال 1363 به طور جدی به فراگیری ردیف آوازی، تلفیق شعر و موسیقی، بینش و زیبایی شناسی در آواز موسیقی اصیل ایرانی همت گمارد و از محضر استادانی چون خسرو سلطانی ، بهروز عابدینی ، مهدی فلاح ، دکتر حسین عمومی، استاد احمد ابراهیمی بهره مند گردید.

تحصیلات دانشگاهی و فارغ التحصیل شدن در رشته ی بیولوژی از دانشگاه شهید بهشتی، ایشان را از فراگیری موسیقی ایرانی دور نکرد، چنانکه آشنایی و معاشرت با استادانی چون علی تجویدی و فرهاد فخرالدینی دریچه های جدیدی از دنیای موسیقی ایران را به رویش گشود و ره آوردهای تازه ای از موسیقی ایرانی با نام های موسیقی گلها، برگ سبز و شاخه گل های رادیو را برایش به ارمغان آورد.

علیرضا قربانی از سال 1378 به عنوان خواننده ارکستر ملی ایران به رهبری فرهاد فخرالدینی به اجرای برنامه های متعدد در داخل و خارج از کشور پرداخته است.

اجراهای متعدد در فستیوال های مهم موسیقی در نقاط مختلف دنیا که ماحصل آن در لوح های فشرده ای در اروپا منتشر یافته است، همچنین برگزاری کنسرت های موفق و پربیننده در داخل و خارج از کشور و دریافت جوایز بسیار ، نام ایشان را در ردیف یکی از بهترین خوانندگان موسیقی اصیل ایرانی جای داده است.

از آثار ایشان می توان به آلبوم موسیقی اشتیاق که در سال 1379 منتشر شده و محصول مشترک ارکستر موسیقی ملی ایران با آهنگسازی فرهاد فخرالدینی می باشد، به عنوان اولین اثر اشاره کرد .

لیست آلبوم های علیرضا قربانی:

آلبوم موسیقی سریال تلویزیونی کیف انگلیسی با آهنگسازی فرهاد فخرالدینی در سال ۱۳۷۹
آلبوم موسیقی سریال تلویزیونی شب دهم با آهنگسازی فردین خلعتبری در سال ۱۳۸۱
آلبوم های فصل باران با آهنگ سازی مجید درخشانی در سال  ۱۳۸۳
آلبوم از خشت و خاک با آهنگسازی صادق چراغی در سال ۱۳۸۴
آلبوم سوگواران خموش با آهنگسازی پژمان طاهری در سال ۱۳۸۵
آلبوم روی در آفتاب با آهنگسازی صادق چراغی در سال ۱۳۸۵
آلبوم سرو روان با آهنگسازی علی قمصری در سال ۱۳۸۷
آلبوم سمفونی مولانا با آهنگسازی هوشنگ کامکار در سال ۱۳۸۷
آلبوم قاف عشق از گروه موسیقی اشتیاق در سال۱۳۸۸ 
آلبوم رسوای زمانه با آهنگسازی استاد همایون خرم در سال ۱۳۸۸
۱۳۸۸ آلبوم قاف عشق از گروه موسیقی اشتیاق
۱۳۹۰ آلبوم بر سماع تنبور
۱۳۹۰ آلبوم جلوهٔ گل
۱۳۹۱ آلبوم حریق خزان
۱۳۹۱ آلبوم هم آواز پرستو‌های آه
۱۳۹۳ آلبوم رفتم و بار سفر بستم
۱۳۹۳ آلبوم قطره‌های باران
۱۳۹۳ آلبوم سودایی
۱۳۹۴ آلبوم دختِ پری وار
۱۳۹۴ آلبوم من عاشق چشمت شدم
۱۳۹۶ آلبوم فروغ
۱۳۹۸ آلبوم افسانه چشمهایت، اثر مشترک با همایون شجریان
و آلبوم جلوه ی گل ( اجرای کنسرت 1382 در کشور فرانسه) پخش به تازگی توسط شرکت آوای باربد اشاره کرد
همچنین صدای گرم علیرضا قربانی را می توان در تیتراژ بسیاری از سریال های تلوزیونی از قبیل کیف انگلیسی، شب دهم، روشنتر از خاموشی ( ملاصدرا ) ، مدار صفردرجه  و وضعیت سفید شنید."
Farhad,"Farhad Mehrad (Persian: فرهاد مهراد) widely known in Iran as Farhad (January 20 1944, Tehran, Iran - August 31 2002, Paris, France), was a Persian legendary singer/musician. He rose to prominence among Iranian classical/folk musicians before the Islamic Revolution, but after the revolution he was banned from singing for several years. His first concert after 1978 was held in San Francisco in 1997. Farhad CDs are available from his  official website  
Farhad was born in Tehran. His father was Reza Mehrad, an Iranian diplomat who worked in the Arabic countries for the Iranian ministry of foreign affairs. Being the youngest child he always behaved differently than his family members and everyone assumed he was trying to act like an adults.
When Farhad was three years of age his love for music was noticed when he stayed outside his brothers' room, listening to his Violin lessons. His family bought Farhad a Cello and he started taking lessons. After 3 lessons, his Chello broke and as Farhad describes ""the instrument broke into pieces so did my soul"". That was the end of the Chello for Farhad and his love and passion for music ended up to be only listening to his brother playing the Violin.
When he went to school he found a passion for literature. He decided to study literature in high school but with the absence of his father, his uncle forced him to study science despite his weak results on all other subjects other than literature and English language. His interest being ignored; he quit high school on the 11th year, because he had no love for what he was studying.
After quitting high school he met an Armenian music band, using their instruments he learnt music by experience and after a while he became the guitar player in the band. The band went to southern Iran to perform for the Iranian Oil Company Club. One of the biggest organizations in Iran with many foreign employees. Before the start of the first nights' performance, the band made Farhad sing, the excuse was the vocalists' absence. Farhads' great attention and fuss for correct pronunciation of the words, and his knowledge of world literature came as a good advantage; when he preformed a few songs in Italian, French and English, it was hard to believe his mother tongue was Farsi. That led to the band's success and they preformed for an extended number of nights.
After a while Farhad quit the band and started his solo career. In 1964 he performed a few English songs on an Iranian TV show, where he captured the attention of more people.

Later in an event sponsored by ""EtelaÃt Javanan""; a popular youth magazine, he preformed in ""Amjadie"" Stadium. He played a few songs with the guitar which was followed by a huge crowd response. That was when ""Shahbal Shabpareh"" , the front man of the Iranian popular band ""Black Cats"" found out about Farhad.
Sometime later Shahbal and Farhad met and Farhad joined the Black Cats as a vocalist, the guitar player and the piano player. The Black Cats members were Shahbal Shabpareh (the percussions), Shahram Shabpareh (the Guitar), Hassan Shamaizadeh (the saxophone), Hamou (the Guitar) and Manouchehr Eslami (the trumpet). The band started playing in ""Couchini Club"".
Manouchehr Eslami called Farhad the most important member of the band; ""Despite the fact he couldn't read music sheets and had learnt the music by listening and playing by experience, Farhad did not need to attend the practice sessions. By whispering the song a few times he could cooperate his voice and instrument with the other band members. In fact he attended the sessions only for the respect of other band members"" said Eslami.
In the busiest and most successful time of the band, the first Farsi song of Farhad, called ""Age Ye Jo Shans Dashtim"" (With a little bit of Luck) was used in the movie ""Banooye Zibaye Man"" (My Fair Lady).

After a while Farhad left the Black Cats to take care of his sick sister in England. Farhad met a famous producer and he was offered a record deal by him. Farhad became ill and due to his illness and personal problems the deal never took place. The journey which was supposed to last for two months, took one year.

In 1969 Farhad sang ""Marde Tanha"" (the lonely man) for the movie ""Reza Motori"" (The Biker Reza). The song was composed by Esfandiar Monfaredzadeh and the lyrics where written by Shahyar Ghanbari. After the release of the movie, the song was released on gramophone discs and Farhad became a legendary star.
Farhad only sang songs which had a message and he believed in their messages. That's why after Marde Tanha he only released 3 singles during the years of 1971-1973. Those where ""Jomeh"" (The Friday) ""Hafteh Kakestari"" (The Gray Week) and ""Ayeneh"" (The Mirror).

Before the Iranian 1979 Islamic Revolution and during the political conflicts of the 1970s in Iran, Farhad recorded 6 songs with revolutionary massages that became the Iranians voice of unity.
The day after the Iranian revolution, 11th of February 1979, his song ""Vahdat"" (unity) was broadcasted from Iranian television[1] in the honour of revolution and freedom.

After revolution, the Islamic government turned its back on Farhad and refused to grant him permission to publish his album many times. Even the song ""Vahdat"" -which was considered a song in honer of the revolution- was refused permission to be released, the government's reason was the song is nothing new; but the fact was the Islamic Government was concerned about his popularity and his influence on people. The government wanted Farhad to be forgotten

In 1993, after 15 years of silence, Farhad was granted permission to release his first album ""Khab Dar Bidari"" (Sleep While Awake) and it went straight to the top of the charts just after its release.
After this album Farhad lost hope in the Iranian governments' grant of permission system and he released his next album ""Barf"" (Snow) in the United States in 1999. Barf was released in Iran a year later.

After Barf Farhad decided to record an album with songs from different countries and in different languages. He decided to call the album ""Amin"" (Amen) he started recording; but death stopped him from finishing it.
On September 2000, Farhad's illness became serious and on the 31st of August 2002, after 2 years of treatment in Iran and France, he died in Paris.
Farhad was 59 years of age when he died; he is resting in peace in the Thiais cemetery in Paris.

Source: Wikipedia

Official website : 


فرهاد مِهراد (۲۹ دی ۱۳۲۲ در تهران - ۹ شهریور ۱۳۸۱ در پاریس) معروف به فرهاد؛ خواننده، آهنگ‌ساز و نوازندهٔ پاپ راک اهل ایران بود.]

فرهاد از خوانندگان راک ایرانی بود و نخستین آلبوم راک اند رول ایران را منتشر کرد.

او به عنوان یکی از سیاسی‌ترین خوانندگان ایران شناخته می‌شود. فرهاد در اوایل دهه ۱۳۵۰ شعرهایی با مضامین سیاسی می‌خواند و مدتی زندانی سیاسی بود. فرهاد بعداً از انقلابیون شد و در زمستان ۱۳۵۷ ترانه انقلابی «وحدت» را خواند، اما پس از انقلاب تا سال ۱۳۷۲ از ادامه کار منع شد.

آنچه فرهاد را از دیگر همدوره‎هایش متمایز می‎کند، ترانه‎های پوچ‌گرا و فرهنگ خیابانی است که در موسیقی او متبلور شده‎است. این عناصر در ترانه مشهور «کودکانه» بیش از پیش نمود دارد

از دیگر ترانه‌های مشهور او می‌توان به «جمعه»، «گنجشکک اشی‌مشی»، «شبانه»، «هفته خاکستری» و «مرد تنها» اشاره کرد. فرهاد آهنگ‎هایی نیز غیر فارسی به زبان های انگلیسی آلمانی و فرانسه نیز دارد
.
سال‌های کودکی
فرهاد ۲۹ دی ۱۳۲۲ در تهران متولد شد. پدرش رضا مهراد، کاردار ایران در کشورهای عربی بود. فرهاد تا ۸ سالگی که به همراه خانواده به تهران بازگشت در عراق زندگی می‌کرد. برادر بزرگ فرهاد ویولن می‌نواخت. یکی از دوستان برادرش متوجه علاقهٔ فرهاد به موسیقی می‌شود و از خانواده فرهاد می‌خواهد که سازی برای او تهیه کنند. با اصرار برادرش یک ویولن‌سل برای او تهیه می‌کنند و تمرینات فرهاد آغاز می‌شود. ولی عمر تمرینات ویولن‌سل از ۳ جلسه فراتر نرفت

سال‌های جوانی و شهرت

بعد از ترک تحصیل در کلاس یازدهم با یک گروه نوازندهٔ ارمنی آشنا می‌شود و با استفاده از سازهای آنان به صورت تجربی نواختن را می‌آموزد و مدتی بعد به عنوان نوازندهٔ گیتار در همان گروه شروع به فعالیت می‌کند. فرهاد دو سال نیز به انگلستان رفت و در آنجا با موسیقی پاپ آن سال‌های انگلستان آشنا شد.

پس از بازگشت به ایران فرهاد اولین اجرای موسیقی خود را در هتل ریمبو در خیابان ایرانشهر تهران اجرا کرد. سپس به اجرای برنامه در رستوران کوچینی ادامه داد و در آنجا به فرهاد بلک‌کَتس مشهور شد. در این دوران به خواندن آوازهایی از گروه‌های معروف موسیقی آن زمان از جمله بیتل‌ها، الویس پریسلی، و ری چارلز می‌پرداخت. در همین دوره ترانهٔ «اگه یه جو شانس داشتیم» را برای دوبلهٔ فیلم بانوی زیبای من خواند که در فیلم استفاده شد.

در ۱۳۴۸ فرهاد برای ترانهٔ «مرد تنها» (با آهنگ اسفندیار منفردزاده و شعر شهیار قنبری) در فیلم رضا موتوری (به کارگردانی مسعود کیمیایی) آواز خواند. این ترانه در سال ۱۳۴۹ هم‌زمان با اکران فیلم به شکل صفحهٔ موسیقی منتشر شد. در ۱۳۵۰ ترانهٔ «جمعه» (کار منفردزاده و قنبری) را برای فیلم خداحافظ رفیق (به کارگردانی امیر نادری)، در ۱۳۵۱ ترانهٔ «خسته» را برای فیلم زنجیری، و در ۱۳۵۶ ترانهٔ «سقف» (کار منفردزاده و ایرج جنتی عطایی) را برای فیلم ماهی‌ها در خاک می‌میرند خواند.

در همین سال‌ها (اوایل دههٔ ۱۳۵۰) فرهاد با دختری به نام مونیکا آشنا شد و با او ازدواج کرد اما سرانجام این ازدواج جدایی بود. بعدها یعنی در اواخر همین دهه فرهاد با پوران گلفام ازدواج کرد و تا پایان عمر با او زندگی کرد.

تا سال ۱۳۵۷ و انقلاب ایران کنسرت‌های فراوانی داد. در بهمن ۱۳۵۷ هم‌زمان با انقلاب ترانهٔ معروفش «وحدت» (آهنگ از منفردزاده، شعر از سیاوش کسرایی) را ضبط کرد.

پس از انقلاب مدت‌ها از کار منع شد تا بالاخره در ۱۳۶۹ آلبوم خواب در بیداری را منتشر کرد که چند ترانهٔ فارسی و چند ترانهٔ انگلیسی داشت. در این نوار فرهاد پیانو هم می‌نواخت و بعضی از آهنگ‌ها را هم خود ساخته بود. در ۱۳۷۴ نیز اولین کنسرت بعد از انقلابش را در کلن اجرا کرد.

در ۱۳۷۶ آلبوم وحدت او نیز منتشر شد که شامل ترانه‌های دههٔ ۱۳۵۰ او بود. در ۱۳۷۷ توانست در هتل شرق تهران کنسرت اجرا کند و آلبوم برف را نیز منتشر کرد.

سال‌های پایانی و بیماری
پس از انتشار آلبوم «برف»، فرهاد درصدد تهیه آلبومی با نام «آمین» بود که ترانه‌هایی از کشورها و زبان‌های مختلف را در بر می‌گرفت. اما از مهرماه ۱۳۷۹ بیماری او جدی شد. فرهاد به بیماری هپاتیت سی مبتلا بود و در نتیجهٔ عوارض کبدی ناشی از آن در خرداد ۱۳۸۱ برای درمان به لیل در فرانسه رفت و در ۹ شهریور همان سال پس از مدتی اغما در بیمارستان، در سن ۵۹ سالگی درگذشت و در ۱۳ شهریور در گورستان تیه (قطعه ۱۱۰، ردیف ۷، سنگ ۲۳) در پاریس دفن شد. پس از درگذشت فرهاد، مجموعه آثار و فیلم مستندی از او منتشر شد.

منبع ویکی پدیا 
.در صورت اطلاعات موثق تر در جهت آگاهی هر چه بیشتر دوستان و طرفداران این خواندده ی بزرگ شما معرفی کنید"
Axiom Of Choice,"Axiom of Choice is a world fusion group of Iranian émigrés who perform a mixing style incorporating Persian classical music and Western classical music.

Poignant, innovative, epic, and soulful - these are but a few of the adjectives used to describe the music of Axiom of Choice. Formed in 1992 by guitarist, composer and Artistic Director Loga Ramin Torkian and co-producer and percussionist Mammad Mohsenzadeh, the ensemble’s goal is to define a new sound within the context of Persian music. They were soon joined by vocalist Mamak Khadem whose prodigious vocal talent complemented the original compositions of Torkian.

The name of the ensemble is a mathematical term, which clearly defines their intentional freedom of choice within the parameters of their compositions and music. As artists who immigrated to the United States, Axiom of Choice incorporates the sounds of other cultures - both East and West - broadening the scope and appeal of their music while remaining loyal to their Persian roots and retaining the originality, distinctiveness and integrity of their sound. Their original compositions are mostly based on Persian melodies and modes and have universal appeal because of their cohesive, seamless and natural fusion with other styles of music.

The musicians work within a unique compositional structure in which both improvisation and personal expression can freely take place. One important goal is to make Persian music more accessible to the broader audience. The other is to communicate through a progressive and new global sound, unique to world music. Based on the quarter-tone guitar, saz, diwan (Middle Eastern lutes), Persian vocals, the Armenian duduk (oboe), clarinet, electric cello, and global percussion instruments, their sound is at the same time traditional and modern, Persian and yet global. The group’s music is self-expressive and powerful, adventurous and mysterious, contemplative and mournful, yet uplifting and cathartic.

Their first album “Beyond Denial” (X-Dot 25) was described as “Near Eastern art music, deeply moving and utterly beautiful” by Rhythm. Their second release “Niya Yesh” (Narada World) became the winner of NAV’s best contemporary world music album in 2001. They were nominated Best Recombinant World Music Ensemble in 2001 by the LA Weekly Music Awards. Their third album “Unfolding,” also on Narada World, is inspired by the Persian poet, mathematician, and astronomer Omar Khayyam and embraces his mystical poetry and vision.

About the members:
Loga Ramin Torkian is a guitarist, Middle Eastern lutist, composer and the Artistic Director of Axiom of Choice. Born in Iran, he moved to the United States after the revolution. When asked to speak about his musical background, he says: “The path to defining one’s music is never straight. I reflect upon the day I left my flamenco guitar teacher - disheartened by his truthful comment that after practicing for years, the only way to bring myself to professional standard would be to move to Spain, otherwise my playing would always have an accent. I knew I could not leave the United States for years to come and I felt I had reached an end. I did not realize then that I was about to discover something very unique within myself.”

Loga spent the next three years studying the tar, a Persian lute and joined for a short period a traditional ensemble by the name of Nava. But he quickly learned that he could not satisfy his creativity within the framework of traditional music. It was then that he decided to create the quarter-tone guitar to which he adapted many of the tar techniques and formed Axiom of Choice, which served as a common ground for other expatriates to work with him. “As an émigré artist, I have chosen to express myself in music that is not bound by the confines of traditional Persian music. Yet, my music in its very depth comes from that tradition,” says Loga who continues to use the radif (Persian repertoire) and Persian melodies as the source of his compositions. Many master musicians have welcomed his approach.

His innovative quarter-tone guitar retooled with movable frets also sets him apart as a guitarist allowing him to play Middle Eastern scales and create new ornamentations on the guitar. He also performs on other Middle Eastern string instruments such as the Turkish saz and the Kurdish diwan. His extensive travels around the world have been instrumental in developing his great sensitivity towards other cultures. He believes that any music that crosses over to other cultures should not only be appealing, but also fundamentally sound for the cultures involved. Loga has also been involved in composing music for films.

Mamak Khadem is the vocalist of the ensemble. Trained in the classical Persian style, by nature poignant, she weaves emotive textures ranging from bliss to pain, which give a mystical and nostalgic bent to the music. “When I think of my childhood, my memories are inseparable from the melodies that touched my soul when I was growing up. It was through establishing this personal relationship with music as well as my training at the Children Choir for National Radio and Television of Iran that my musical education began. But it was not until the late seventies and after the revolution that I truly became inspired to learn Persian traditional vocals.” Thus Mamak Khadem sums up her musical background. Like many other immigrants, Mamak discovered her cultural heritage after years of living abroad. The revolution in Iran and subsequently the immense amount of work produced in the early eighties by master musicians of that time became her source of inspiration. Since then, she has seized every opportunity to further her vocal art, regularly traveling back to Iran to study with some of the finest Persian vocalists and masters. In 1992, Mamak joined Axiom of Choice, which allowed her to experiment and define her own style. She has expanded her vocal art also by learning other methods of singing (such as classical Indian, and Bulgarian). Mamak believes that the path of learning is endless. However, one thing clear to her is that Persian vocal art can be successfully used outside of its traditional context.

“I love teaching children and singing”, says Mamak. These are the two main goals in her life and she has been fortunate enough to fulfill both by teaching mathematics and world culture classes to high school students. She has worked and recorded, among others, with Hans Zimmer (on the score of Peace Maker), Jamshied Sharifi, Tulku, Omar Faruk Tekbilek, Joel Mc Neally (on the soundtrack of the movie “Buffalo Soldier” and “Dark Angels” TV series), Jeff Rona, composer of the “Chicago Blues” TV series score, and Chris Beck, the composer of “Buffy, the Vampire Slayer” TV score.

Ruben Haratunian from Armenia is a foremost duduk, zurna and clarinet player. A prominent student of the legendary world-renowned Armenian duduk player, Djivan Gasparyan, Ruben is a graduate of the prestigious Aram Khatchaturian College of Music and the Komitas Conservatory and has established himself as a virtuoso performer and the finest duduk player to live in the United States and the West. Prior to relocating to the United States, he was the Director and soloist for T. Altounyan Armenian State Ensemble of Folk Singing and Dancing. He is currently the most active duduk player living in the United States and a recording artist who has performed at numerous prestigious venues. Dedicated to preserving the music of Armenia and the duduk tradition, he is the first duduk player of the Armenian ensemble Winds of Passion. Ruben is esteemed not only for the exquisite tonality of his duduk playing but also for his vast knowledge of the melodies and maqams (traditional motifs and modes) of not only Armenia but also of the surrounding region, including Iran, Kurdistan and Azerbaijan. In this capacity, he is unique. He joined Axiom of Choice in 2000.

Andre Harutyunyan from Armenia is a multi-percussionist who is highly sought after by world music, Armenian and Persian ensembles. He has recorded and performed with Djivan Gasparyan, Armen Chakmakian and Vas, among others. He has been a member of Axiom of Choice since 2000.

They are joined by Greek American musician Dimitrius Mahlis on guitar and bouzouki."
Moein,"Nasrollah Moein Najafabadi (Persian: نصرالله معین نجف آبادی) known as Moein is an Iranian singer known for his love songs. Born in 1951 in Najafabad in Esfahan, Iran. He has played lots of concerts across the world.

In 1982, after Writing ""Yeki Ra Doost Midaram"", he left the country. In one of his interviews, Moein actually explains that his song ""Yeki Ra Doost Midaram"" had been performed by Hayedeh(famous Persian singer before him) by the time he arrived to L.A.. However, it was his version which became very popular and lead Moein to his first hit. It's interesting to note that even to-date many people think Moein performed Hayedeh's song. Around this period his songs drew a lot of attention. Moein continued to produce hit after hit. Such classics as Kabeh, Havas, Esfehan, Miparastam, Paricheh. These were all great hits not only in Iran self but also outside of Iran (for example Sweden where many Irianans have emigrated to)."
Ehsan Khaje Amiri,"Ehsan Khajeh Amiri (Persian: احسان خواجه امیری) born October 29, 1984 in Iran, is an Iranian singer. he is son of famous Persian traditional music singer, Iraj. He performed some of the songs in the film Moon is Shining Tonight.He formed in Iran in 2004.

Studio Albums
Mano Baba (Persian: من و بابا, means ""Me and Father"") 2004
Baraye Avvalin Bar (Persian: برای اولین بار, means ""For the first time"") 2005
Salame Akhar (Persian: سلام آخر, means ""The last greeting"") 2007
Fasle Tazeh (Persian: فصل جدید, means ""New Season"") 2009
Ye Khatere Az Farda (Persian: يه خاطره از فردا, means ""A Memory From Tomorrow"") 2010
Asheghaneha (Persian: عاشقانه‌ها, means ""The Amorous"") 2012
Shahr-e Divune (Persian: شهر دیوونه, means ""The crazy city"") 2019"
Pallett,"PALLETT is a Tehran based Persian music Band which founded in 2010.

Members:
■Dariush Azar (Double Bass & Back Vocal)
■Rouzbeh Esfandarmaz (Clarinet & Bass Clarinet)
■Kaveh Salehi (Guitar & Vocal)
■Mahyar Tahmasebi (Cello)
■Omid Nemati (Vocal)"
Dang Show,"The eclectic music style of  Dang Show comes from the creative combination of Piano, Saxophone, Vocals and Percussions.

The band has performed numerous times in Tehran to sold out audiences, including the opening ceremony of the International Fajr Film Festival, and a 3 day charity concert for Mahak (The Society to Support Children Suffering from Cancer ), Jashne Tasvir the largest photography exhibition in Iran, and Khane Cinema, the home of the Iranian Movie Industry. They have composed and recorded soundtracks for over 10 major Iranian movie releases , including “I, ran and ran”, the last film directed by Kamal Tabrizi , and “The Gardens of Kandeloos” directed by Iraj Karimi.

Internationally, they have performed for the 60th Anniversary of Thailand’s Monarchy at the hospital where the 80 year-old King of Thailand was hospitalized. They have also performed at the International Winter Festival in Sarajevo and received overwhelming praise from the media.د

Their first release Shiraz 40 Year Old  was published worldwide by independent record label Bamahang Productions in 2010"
Mohsen Yeganeh,"Mohsen Yeganeh (Persian: محسن یگانه‎; born May 13, 1985 in Gonbad-e Qabus[1]) is a popular Iranian vocalist, singer and songwriter and musician, composer, and arranger. He is one of the most popular singers in Iran and His title is ""Mr Genius""[5][6]

Official albums:
Nafasaye Bihadaf (2008)
Rage Khab (2010)
Hobab (2012)
Negah (2015)

He had a record breaking performance in Nokia Theater L.A. In December 6,2014



محسن يگانه، خواننده، ترانه سرا، آهنگساز، تنظيم كننده و نوازنده ى ايرانى در بيست و سوم ارديبهشت١٣٦٤ در گنبد كابوس به دنيا آمد.
وى فرزند شهيد محمدرضا يگانه است.
علاقه به موسيقى در وى درحدى بود كه با وجود كمبود امكانات ساز گيتار را با اكتفا به هوش ذاتى خود فرا گرفت و در سن هجده سالگى اولين آهنگ خود (( نشكن دلمو)) را نوشت.

: ترانه‌شناسی محسن یگانه
سال کبیسه (غیر رسمی) (۱۳۸۴)
وقتی رفتی (غیر رسمی) (۱۳۸۵)
آخه دل من (غیر رسمی) (۱۳۸۵)
نفس‌های بی هدف (۱۳۸۷)
رگ خواب (۱۳۸۹)
حباب (۱۳۹۱)
ئی‌پی (۱۳۹۲)
نگاه (۱۳۹۴)

برندهٔ تندیس بهترین اجرای زندهٔ موسیقی پاپ، بخش کارشناسی، از اولین جشنوارهٔ سالانهٔ موسیقی ما در سال۱۳۹۱

دریافت تندیس معتبر سالن تئاتر نوکیا لس آنجلس (Nokia Theatre L.A. Live) و ثبت نام او به عنوان یکی از مشاهیر این تالار"
Faramarz Aslani,"Born July 13th, 1954
Tehran, Iran

Singer, Songwriter and Producer Faramarz Aslani (Persian : فرامرز اصلانی) is admittedly a rare phenomenon in the Iranian modern music. He writes his own lyrics & music, and he sings them accompanied by his stylish guitar playing.

He is a graduate of London University's College of Journalism and has written for several Persian and English publications, since his graduation in the early seventies.

Upon returning to his native country, he worked for one of two English dailies, ""Tehran Journal"" until he was spotted by the President of CBS, in Tehran.

His first album, ""Occupation of The Heart"", recorded for CBS in 1977, has remained on the best sellers chart since it's debut.

He also recorded a second album, ""Hafez, a Memorandum"", for the same company. In this album he wrote music on eight poems of Hafez, Iran's most famous poet and mystic.

After the 1979 revolution in Iran, he took his family back to England, where he worked both as a journalist and a musician. Faramarz has two daughters, Phaedra and Roxana, from his previous marriage. They are both successful artists, as well. Their latest album has been a hit in the United Kingdom.

His first tour of the United States began in 1992, when he opened at the Shrine Auditorium and was received by an eager and excited audience.

About his latest album he says: ""these songs are the addition of all the sweet and bitter memories of my life.""

""Days of Songs and Sorrow"" is a magnificent album. The lyrics are deep and captivating yet simple to absorb. The vocals are warm and sincere. At times, the artist's guitar becomes an inseparable element of this intricate work of art. A fan wrote: ""He sings with a passion that makes you fall in love and makes your heart ache!""

The songs are quite diverse, both in style and content. This is what makes Faramarz Aslani distinct.

In 2010, Faramarz released his first album since 1999 titled ""The Third Line"" (Khatte Sevvom) , in his first collaboration with independent record label Bamahang Productions."
Soheil Nafisi,"Born in Tehran (1967),  Soheil is an autodidact musician who spent more than 20 years of his life in the Hormozgan region (mostly Bandar Abbas) which strongly influenced his music.
Soheil's deep interest and respect to Persian contemporary poetries, directed him to compose music based on some of Iran's most memorable poems. His  singing style and the guitar accompaniments could somehow considered as a kind of Iranian Chansons."
Mehdi Ahmadvand,
Kayhan Kalhor,"Kayhan Kalhor (Persian: كيهان كلهر), born 1963, is an Iranian kamancheh player of Kurdish descent.
Kayhan Kalhor was born in Tehran, Iran. He began studying music at seven years of age. By age thirteen he was playing in the National Orchestra of Radio and Television of Iran. Continuing his music studies under various teachers, he studied in the Persian radif tradition and also travelled to study in the northern part of Khorasan province, where music traditions have Kurdish and Turkic influences as well as Persian. At a musical conservatory in Tehran around age 20 Kalhor worked under the directorship of Mohammad Reza Lotfi who is from Gorgan. Kalhor also travelled in the northwestern (Kurdish) provinces of Iran. He later moved to Rome and Ottawa to study European classical music.
Kayhan Kalhor has a wide range of musical influences, he uses several musical instruments, and crosses cultural borders with his work, but at his center he is an intense player of the Persian Kamanche. In his playing Kalhor often pins Persian classical music structures to the rich folk modes and melodies of the Kurdish tradition of Iran.

Kalhor has composed works for, and played alongside, the famous Iranian vocalists Mohammad Reza Shajarian (see Masters of Persian Music) and Shahram Nazeri. He has also composed and performed with the Indian sitar player Shujaat Husain Khan, the two forming a ghazal group and publishing several albums. Kalhor's 2004 album Mirror of the Sky was a joint venture with the Kurdish Iranian lute player Ali Akbar Moradi. Kalhor's most recent album The Wind (2006) is a collaboration with the Turkish baglama virtuoso Erdal Erzincan, with both Turkish and Persian pieces performed. At other times Kalhor has collaborated with Yo-Yo Ma's Silk Road Project Ensemble in the USA and the Kronos Quartet.

Kalhor now resides in USA and has been commercially successful in USA over the past decade (two of his works were nominated for Grammy Awards in 2004)."
